genus,n_species,mean_diff,median_diff,p_value,p_adj,direction
Micrococcaceae,1,0.014962834588995166,0.014962834588995166,NA,NA,Insufficient pairs
uncultured soil bacterium,1,-0.013592927913723685,-0.013592927913723685,NA,NA,Insufficient pairs
Faecalitalea,1,0.011801277469595917,0.011801277469595917,NA,NA,Insufficient pairs
Brachybacterium,1,-0.010067696227513245,-0.010067696227513245,NA,NA,Insufficient pairs
Mogibacterium,1,-0.009576842476147096,-0.009576842476147096,NA,NA,Insufficient pairs
Phascolarctobacterium,1,-0.008690630894522045,-0.008690630894522045,NA,NA,Insufficient pairs
Peptoniphilus,1,0.008390318606814162,0.008390318606814162,NA,NA,Insufficient pairs
Fimbriiglobus,1,-0.00810745331887519,-0.00810745331887519,NA,NA,Insufficient pairs
Mycobacterium,1,0.007090634301240684,0.007090634301240684,NA,NA,Insufficient pairs
Friedmanniella,1,-0.003477537591170865,-0.003477537591170865,NA,NA,Insufficient pairs
Cellulomonas,1,0.0029599268480398067,0.0029599268480398067,NA,NA,Insufficient pairs
Gemmata,1,0.002897760642790459,0.002897760642790459,NA,NA,Insufficient pairs
Parabacteroides,1,0.0024805839119688144,0.0024805839119688144,NA,NA,Insufficient pairs
uncultured,1,0.001788306025441333,0.001788306025441333,NA,NA,Insufficient pairs
