genus,abundance,maturity,species
Microlunatus,9.0408155326258e-4,Mature,Warbler
Morganella,0.00774328957093462,Immature,Warbler
Morganella,0.00509052230242553,Mature,Warbler
Mycobacterium,0.00711184357505723,Immature,Warbler
Mycobacterium,0.00722892666478065,Mature,Warbler
Nakamurella,9.8377829144444e-4,Immature,Warbler
Nakamurella,8.7438504391741e-4,Mature,Warbler
Nocardia,6.7706964317303e-4,Immature,Warbler
Nocardia,NA,Mature,Warbler
Nocardioides,0.00388691399000577,Immature,Warbler
Nocardioides,0.00342802915810031,Mature,Warbler
Ochrobactrum,0.00444197716992689,Immature,Warbler
Ochrobactrum,0.00750494348257503,Mature,Warbler
Paenibacillus,7.7714732111188e-4,Immature,Warbler
Paenibacillus,NA,Mature,Warbler
Paeniclostridium,0.011051960624732,Immature,Warbler
Paeniclostridium,NA,Mature,Warbler
Pantoea,0.0496522889383848,Immature,Warbler
Pantoea,0.0286574054711344,Mature,Warbler
Parabacteroides,0.0156905609971975,Immature,Warbler
Parabacteroides,0.0157804438075747,Mature,Warbler
Paraclostridium,8.7715141252283e-4,Immature,Warbler
Paraclostridium,NA,Mature,Warbler
Paracoccus,0.00765859147732608,Immature,Warbler
Paracoccus,0.00668481940376495,Mature,Warbler
Pararhodospirillum,0.00527872957863471,Immature,Warbler
Pararhodospirillum,0.0124432209498828,Mature,Warbler
Pelagibacterium,0.00137584731207546,Immature,Warbler
Pelagibacterium,7.2089828835968e-4,Mature,Warbler
Phascolarctobacterium,0.00162479053594834,Immature,Warbler
Phascolarctobacterium,0.00159258032896646,Mature,Warbler
Pir4 lineage,0.00163634362082805,Immature,Warbler
Pir4 lineage,0.00209703745358094,Mature,Warbler
Pirellula,9.6626469780514e-4,Immature,Warbler
Pirellula,NA,Mature,Warbler
Pragia,0.00136664899608843,Immature,Warbler
Pragia,0.00351753874746114,Mature,Warbler
Proteus,0.00218831616657753,Immature,Warbler
Proteus,0.00392182037775932,Mature,Warbler
Providencia,0.00355025562488061,Immature,Warbler
Providencia,0.00970734327466294,Mature,Warbler
Pseudomonas,0.00314494102922827,Immature,Warbler
Pseudomonas,0.00390790356341675,Mature,Warbler
Pseudonocardia,0.00634727955021559,Immature,Warbler
Pseudonocardia,0.0072835894276774,Mature,Warbler
Psychrobacter,7.5529212232671e-4,Immature,Warbler
Psychrobacter,7.965275904497e-4,Mature,Warbler
Quadrisphaera,0.00198278899416341,Immature,Warbler
